                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.55977,                0.40894,                  1.007,                0.97752,                0.95568,                0.97431,                0.92688,                0.28032,                 0.2196,                0.72728,              0.0098574,              0.0098574,              0.0098574
                     75,                0.56361,                0.40332,                 1.0088,                0.98862,                0.95438,                 0.9714,                0.93598,                0.26278,                0.21048,                0.72885,              0.0098555,              0.0098555,              0.0098555
                     76,                0.57407,                0.40153,                 1.0162,                0.98692,                0.93407,                0.97215,                0.93471,                0.27514,                0.22564,                0.72917,              0.0098535,              0.0098535,              0.0098535
                     77,                0.54972,                0.39172,                 1.0135,                0.99782,                0.93407,                0.97101,                0.91267,                0.29067,                0.21038,                 0.7323,              0.0098515,              0.0098515,              0.0098515
                     78,                0.56977,                0.42305,                  1.013,                      1,                0.95595,                0.96766,                0.92157,                0.27548,                0.20824,                0.73078,              0.0098495,              0.0098495,              0.0098495
                     79,                0.55219,                0.38584,                 1.0087,                      1,                0.94466,                 0.9749,                 0.9347,                0.26466,                0.19725,                0.71806,              0.0098475,              0.0098475,              0.0098475
                     80,                0.55711,                0.39118,                 1.0054,                0.98862,                0.95426,                 0.9686,                0.93936,                 0.2718,                0.23123,                0.72131,              0.0098456,              0.0098456,              0.0098456
                     81,                0.53458,                 0.3784,                0.99184,                0.97717,                0.94077,                0.96244,                0.91929,                0.27775,                0.21829,                0.73742,              0.0098436,              0.0098436,              0.0098436
                     82,                0.56351,                0.40169,                  1.016,                0.97749,                 0.9545,                0.96543,                0.92553,                0.26028,                0.23822,                0.73426,              0.0098416,              0.0098416,              0.0098416
                     83,                0.54443,                0.39808,                 1.0054,                0.95171,                0.93407,                0.96705,                0.91928,                0.27097,                0.21843,                0.73876,              0.0098396,              0.0098396,              0.0098396
                     84,                0.55209,                0.39246,                 1.0027,                      1,                0.95579,                0.96897,                0.93469,                0.25834,                0.19619,                0.72899,              0.0098376,              0.0098376,              0.0098376
                     85,                0.55056,                0.39147,                 1.0077,                 0.9775,                0.95498,                0.97898,                0.91944,                0.28452,                 0.2172,                0.73751,              0.0098357,              0.0098357,              0.0098357
                     86,                 0.5378,                 0.3973,                 1.0096,                0.98849,                0.95604,                0.97166,                0.92286,                0.28425,                0.21085,                0.73514,              0.0098337,              0.0098337,              0.0098337
                     87,                 0.5245,                0.38606,                0.99791,                      1,                0.94399,                0.96951,                0.93006,                0.27543,                0.20405,                0.73248,              0.0098317,              0.0098317,              0.0098317
                     88,                0.56022,                0.40428,                 1.0122,                0.98835,                0.93247,                0.95568,                0.91584,                0.26076,                0.21362,                0.73317,              0.0098297,              0.0098297,              0.0098297
                     89,                0.55282,                0.39772,                0.99905,                0.98861,                0.95351,                0.97166,                0.91912,                0.28121,                0.20091,                0.73707,              0.0098277,              0.0098277,              0.0098277
                     90,                0.55281,                0.39408,                 1.0093,                0.98804,                0.93407,                0.98271,                0.93022,                0.26164,                 0.2052,                0.71852,              0.0098258,              0.0098258,              0.0098258
                     91,                0.54499,                 0.3765,                 1.0158,                      1,                0.95501,                 0.9723,                0.93956,                0.27444,                0.19015,                0.72801,              0.0098238,              0.0098238,              0.0098238
                     92,                0.53616,                0.38324,                 1.0045,                0.98858,                0.95118,                0.97191,                0.93947,                0.25728,                0.20625,                0.72489,              0.0098218,              0.0098218,              0.0098218
                     93,                0.53692,                0.38567,                0.99549,                      1,                0.93432,                0.97089,                0.91894,                0.25955,                0.22611,                0.73126,              0.0098198,              0.0098198,              0.0098198
                     94,                0.53788,                0.37794,                 1.0011,                0.98703,                0.95604,                 0.9708,                0.92913,                0.26858,                0.20301,                0.73118,              0.0098178,              0.0098178,              0.0098178
                     95,                0.54076,                0.38842,                 1.0061,                0.98861,                 0.9541,                 0.9717,                0.93063,                0.26748,                 0.2044,                0.72157,              0.0098159,              0.0098159,              0.0098159
                     96,                0.52617,                0.37479,                0.98794,                0.99874,                0.95604,                0.96883,                0.92697,                0.27149,                0.20004,                0.73693,              0.0098139,              0.0098139,              0.0098139
                     97,                0.53261,                0.37408,                 1.0007,                0.99899,                0.93407,                 0.9701,                 0.9352,                 0.2485,                0.19012,                0.71497,              0.0098119,              0.0098119,              0.0098119
                     98,                0.52519,                0.36851,                0.99248,                      1,                0.93355,                0.96688,                0.92662,                0.26069,                0.19651,                0.72683,              0.0098099,              0.0098099,              0.0098099
                     99,                0.52706,                0.37683,                0.99013,                      1,                0.94502,                0.96891,                0.93777,                0.26035,                0.20007,                0.72182,              0.0098079,              0.0098079,              0.0098079
                    100,                0.53604,                0.39518,                 1.0109,                0.98862,                0.95427,                0.96713,                0.92822,                0.26829,                0.20277,                0.73347,               0.009806,               0.009806,               0.009806
                    101,                0.53678,                0.37654,                0.99765,                  0.967,                0.96613,                 0.9747,                0.93769,                0.24518,                0.20434,                0.71777,               0.009804,               0.009804,               0.009804
                    102,                 0.5199,                0.36812,                0.98814,                0.96695,                0.96469,                0.97246,                0.93231,                0.26496,                0.20378,                0.72591,               0.009802,               0.009802,               0.009802
                    103,                0.53898,                0.38227,                 1.0017,                0.97345,                0.95604,                0.98203,                0.93232,                0.24868,                0.20391,                 0.7154,                 0.0098,                 0.0098,                 0.0098
                    104,                0.52438,                0.37368,                 0.9904,                0.98822,                0.95604,                0.96833,                0.94034,                0.23676,                0.18667,                0.70701,               0.009798,               0.009798,               0.009798
                    105,                0.51605,                0.36754,                0.98363,                0.98849,                 0.9436,                0.96358,                 0.9182,                0.26138,                0.21199,                 0.7199,              0.0097961,              0.0097961,              0.0097961
                    106,                0.52023,                0.35346,                0.98676,                0.97699,                0.93321,                0.95949,                0.93114,                0.23931,                0.19406,                 0.7086,              0.0097941,              0.0097941,              0.0097941
                    107,                0.52453,                0.37394,                0.98825,                0.98849,                0.94398,                0.96694,                0.93663,                0.24959,                 0.1933,                0.71199,              0.0097921,              0.0097921,              0.0097921
                    108,                0.51629,                0.36692,                0.98608,                0.98538,                0.95604,                0.96716,                0.93061,                0.25327,                0.18121,                0.71724,              0.0097901,              0.0097901,              0.0097901
                    109,                0.52635,                0.37241,                0.99436,                      1,                0.96406,                0.97072,                 0.9366,                 0.2575,                0.18212,                0.72179,              0.0097881,              0.0097881,              0.0097881
                    110,                0.51675,                0.36337,                0.99022,                      1,                0.96686,                0.98085,                0.93222,                0.25031,                0.18962,                0.72218,              0.0097862,              0.0097862,              0.0097862
                    111,                0.54144,                0.37921,                 1.0099,                0.97704,                 0.9354,                 0.9653,                0.92106,                0.26841,                0.21137,                0.72402,              0.0097842,              0.0097842,              0.0097842
                    112,                0.52814,                0.37007,                0.99232,                0.99789,                0.94505,                0.96677,                0.93139,                0.26478,                 0.2002,                0.73258,              0.0097822,              0.0097822,              0.0097822
                    113,                0.52805,                0.37703,                0.99776,                0.97723,                0.94328,                0.97463,                0.93405,                 0.2565,                0.18988,                0.72265,              0.0097802,              0.0097802,              0.0097802
                    114,                0.51708,                0.36644,                0.98707,                0.98799,                0.95604,                0.97648,                0.92998,                0.25242,                0.17426,                0.71794,              0.0097782,              0.0097782,              0.0097782
                    115,                0.52898,                 0.3784,                0.99583,                      1,                0.93918,                0.97508,                0.92708,                 0.2459,                0.17073,                0.72071,              0.0097763,              0.0097763,              0.0097763
                    116,                0.52454,                0.36061,                0.99061,                0.97726,                 0.9446,                0.96931,                0.93526,                0.23889,                0.17955,                0.70926,              0.0097743,              0.0097743,              0.0097743
                    117,                 0.5045,                0.35453,                0.97987,                0.99438,                0.93407,                0.97197,                 0.9403,                0.24225,                0.18205,                0.70928,              0.0097723,              0.0097723,              0.0097723
                    118,                0.51008,                0.36153,                0.98344,                0.98813,                0.95604,                 0.9795,                 0.9405,                0.23799,                 0.1744,                0.71954,              0.0097703,              0.0097703,              0.0097703
                    119,                0.51842,                0.35899,                0.98634,                      1,                 0.9405,                 0.9708,                 0.9385,                0.23928,                0.17264,                0.71067,              0.0097683,              0.0097683,              0.0097683
