                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.55059,                0.36163,                 0.8809,                0.96429,                0.93426,                0.96312,                 0.9133,                0.33161,                0.26184,                0.81705,              0.0098258,              0.0098258,              0.0098258
                     91,                 0.5487,                0.35858,                0.87854,                0.96566,                0.93277,                0.96227,                0.91265,                0.33402,                0.26152,                0.81991,              0.0098238,              0.0098238,              0.0098238
                     92,                0.55006,                0.36045,                0.87979,                0.96524,                0.93233,                0.95732,                0.90665,                0.32854,                0.26329,                0.81619,              0.0098218,              0.0098218,              0.0098218
                     93,                0.54998,                0.35825,                0.87928,                0.96028,                0.93574,                0.96349,                 0.9146,                0.32753,                0.25952,                0.81522,              0.0098198,              0.0098198,              0.0098198
                     94,                0.54856,                0.35621,                0.87742,                0.95235,                0.94401,                0.95947,                0.91156,                  0.322,                0.25885,                0.81542,              0.0098178,              0.0098178,              0.0098178
                     95,                0.54409,                0.35709,                0.87881,                0.96111,                0.93658,                0.96325,                0.91439,                0.32592,                0.26069,                0.81778,              0.0098159,              0.0098159,              0.0098159
                     96,                0.54404,                0.35495,                0.87793,                0.96209,                 0.9351,                0.96295,                0.91477,                0.32695,                0.25845,                0.81823,              0.0098139,              0.0098139,              0.0098139
                     97,                0.54759,                0.35904,                0.88188,                0.96577,                0.93409,                0.95899,                0.91217,                0.32839,                0.25816,                0.81786,              0.0098119,              0.0098119,              0.0098119
                     98,                0.54501,                0.35627,                0.87875,                0.96348,                 0.9363,                0.96264,                 0.9151,                0.33134,                0.25998,                0.81875,              0.0098099,              0.0098099,              0.0098099
                     99,                0.54976,                 0.3559,                0.88187,                 0.9647,                0.93526,                0.96331,                0.91278,                0.32549,                0.25595,                0.81693,              0.0098079,              0.0098079,              0.0098079
                    100,                  0.543,                0.35374,                0.87718,                0.96417,                0.93184,                0.96402,                0.91522,                0.32964,                0.25875,                0.81864,               0.009806,               0.009806,               0.009806
                    101,                0.54301,                0.35584,                0.87862,                 0.9645,                0.93319,                0.96428,                0.91469,                0.32653,                0.25619,                0.81456,               0.009804,               0.009804,               0.009804
                    102,                0.53951,                 0.3507,                0.87544,                0.95708,                0.93788,                0.96562,                0.91777,                0.32296,                0.25501,                0.81567,               0.009802,               0.009802,               0.009802
                    103,                0.54142,                0.35105,                0.87745,                0.96395,                0.93372,                0.96335,                0.91572,                0.32022,                0.25439,                0.81508,                 0.0098,                 0.0098,                 0.0098
                    104,                0.53857,                0.34952,                0.87593,                0.96668,                0.93383,                 0.9635,                0.91661,                0.31871,                0.25411,                0.81424,               0.009798,               0.009798,               0.009798
                    105,                0.54274,                0.35267,                0.87676,                0.96471,                0.93728,                0.96254,                0.91654,                0.31816,                 0.2536,                0.81334,              0.0097961,              0.0097961,              0.0097961
                    106,                 0.5405,                0.35336,                0.87617,                0.96403,                 0.9366,                0.96323,                0.91597,                0.32302,                0.25336,                0.81579,              0.0097941,              0.0097941,              0.0097941
                    107,                 0.5382,                0.35073,                0.87561,                 0.9667,                0.93352,                0.96432,                 0.9161,                0.32338,                0.25247,                0.81673,              0.0097921,              0.0097921,              0.0097921
                    108,                0.54282,                0.34853,                0.87848,                0.96661,                0.93637,                0.96336,                0.91565,                0.32372,                 0.2509,                0.81719,              0.0097901,              0.0097901,              0.0097901
                    109,                0.53185,                0.34926,                0.87406,                0.96663,                0.93472,                0.96467,                 0.9172,                0.31848,                 0.2516,                0.81246,              0.0097881,              0.0097881,              0.0097881
                    110,                0.53676,                0.34709,                0.87438,                 0.9655,                0.93848,                0.96492,                 0.9192,                0.31701,                0.24876,                0.81309,              0.0097862,              0.0097862,              0.0097862
                    111,                0.53632,                0.34853,                0.87397,                0.96312,                0.93872,                0.96729,                0.92158,                  0.319,                0.24997,                0.81215,              0.0097842,              0.0097842,              0.0097842
                    112,                0.53449,                0.34739,                0.87437,                0.96523,                0.93823,                0.96662,                0.92101,                0.32305,                0.24812,                0.81485,              0.0097822,              0.0097822,              0.0097822
                    113,                0.53809,                0.34761,                0.87507,                0.96428,                0.93634,                0.96375,                0.91784,                0.31998,                0.25075,                0.81372,              0.0097802,              0.0097802,              0.0097802
                    114,                0.53031,                0.34564,                0.87499,                0.96634,                0.93419,                0.96342,                0.91806,                0.31743,                0.24969,                0.81358,              0.0097782,              0.0097782,              0.0097782
                    115,                0.53451,                0.34649,                0.87384,                0.96539,                0.93461,                0.96287,                0.91716,                0.31832,                0.25046,                0.81376,              0.0097763,              0.0097763,              0.0097763
                    116,                0.53244,                0.34371,                0.87507,                0.96593,                0.93438,                0.96229,                0.91716,                 0.3175,                0.24982,                0.81386,              0.0097743,              0.0097743,              0.0097743
                    117,                0.53096,                0.34536,                0.87254,                0.96291,                0.93434,                0.96093,                0.91528,                0.31914,                0.25255,                0.81407,              0.0097723,              0.0097723,              0.0097723
                    118,                0.53133,                0.34572,                0.87459,                0.95959,                0.93939,                0.96269,                0.91672,                0.31885,                0.25303,                0.81296,              0.0097703,              0.0097703,              0.0097703
                    119,                0.53008,                0.34338,                0.87258,                0.96544,                0.93487,                0.96204,                 0.9174,                0.31428,                0.24986,                0.81155,              0.0097683,              0.0097683,              0.0097683
                    120,                0.52945,                0.34451,                0.87225,                0.96134,                0.93538,                0.96258,                 0.9181,                0.31636,                0.25217,                0.81097,              0.0097664,              0.0097664,              0.0097664
                    121,                 0.5283,                 0.3431,                0.87209,                0.96436,                0.93536,                0.96323,                0.91814,                0.31425,                0.24931,                0.80992,              0.0097644,              0.0097644,              0.0097644
                    122,                0.52556,                0.34182,                0.87252,                0.96569,                0.93539,                0.96418,                0.91893,                 0.3141,                0.24659,                0.80954,              0.0097624,              0.0097624,              0.0097624
                    123,                0.52657,                0.34212,                0.87172,                0.96449,                0.93558,                 0.9642,                0.91921,                0.31497,                0.24741,                0.81059,              0.0097604,              0.0097604,              0.0097604
                    124,                0.52816,                0.34165,                0.87176,                0.97178,                0.93361,                0.96348,                0.91847,                 0.3125,                0.24752,                0.81019,              0.0097584,              0.0097584,              0.0097584
                    125,                0.53065,                0.34255,                0.87421,                0.96804,                0.93715,                0.96342,                0.91819,                0.31431,                0.24754,                0.81024,              0.0097565,              0.0097565,              0.0097565
                    126,                0.53206,                0.34281,                0.87641,                0.96632,                0.93736,                0.96362,                0.91818,                0.31323,                0.24593,                0.80918,              0.0097545,              0.0097545,              0.0097545
                    127,                0.52398,                0.34061,                0.87071,                0.96881,                 0.9333,                0.96342,                0.91836,                0.31571,                0.24841,                0.81032,              0.0097525,              0.0097525,              0.0097525
                    128,                 0.5257,                0.33957,                0.87053,                0.96361,                0.93884,                0.96383,                0.91873,                0.31454,                0.24839,                0.81035,              0.0097505,              0.0097505,              0.0097505
                    129,                0.52516,                0.34203,                0.87129,                0.96649,                0.93511,                 0.9638,                0.91817,                0.31526,                0.24642,                0.81007,              0.0097485,              0.0097485,              0.0097485
                    130,                0.52513,                0.34017,                0.87019,                0.96371,                0.93555,                0.96346,                 0.9193,                0.31621,                0.24783,                0.81051,              0.0097466,              0.0097466,              0.0097466
                    131,                0.52745,                0.34106,                0.87351,                0.96462,                0.93351,                0.96367,                0.91925,                0.31289,                0.24602,                0.80973,              0.0097446,              0.0097446,              0.0097446
                    132,                0.52238,                0.33859,                0.87136,                0.96164,                0.93574,                0.96568,                0.92126,                0.31004,                0.24449,                0.80896,              0.0097426,              0.0097426,              0.0097426
                    133,                0.52603,                0.33915,                0.86998,                0.95933,                0.93837,                0.96539,                0.92078,                0.31011,                0.24641,                0.80925,              0.0097406,              0.0097406,              0.0097406
                    134,                0.52816,                0.33895,                0.87206,                0.95785,                0.93784,                0.96343,                0.91996,                 0.3138,                0.24628,                0.81166,              0.0097386,              0.0097386,              0.0097386
                    135,                0.52598,                0.34084,                0.87163,                 0.9589,                0.93845,                0.96436,                0.92005,                0.31122,                0.24534,                 0.8101,              0.0097367,              0.0097367,              0.0097367
                    136,                0.52444,                0.33992,                 0.8711,                0.96269,                0.93546,                0.96413,                0.92066,                0.31208,                0.24573,                0.80929,              0.0097347,              0.0097347,              0.0097347
                    137,                0.52127,                0.33815,                0.86869,                0.96282,                0.93658,                0.96617,                  0.923,                0.31277,                0.24713,                0.80966,              0.0097327,              0.0097327,              0.0097327
                    138,                0.52229,                0.33931,                0.86952,                0.96088,                0.94063,                0.96305,                0.91958,                0.31567,                0.24694,                0.81062,              0.0097307,              0.0097307,              0.0097307
                    139,                0.52167,                 0.3389,                 0.8677,                0.96448,                0.93741,                 0.9633,                0.91887,                 0.3143,                 0.2462,                0.81008,              0.0097287,              0.0097287,              0.0097287
                    140,                0.51959,                0.33679,                0.86706,                0.96707,                0.93598,                0.96282,                0.91964,                 0.3128,                0.24381,                0.80853,              0.0097268,              0.0097268,              0.0097268
                    141,                0.51691,                0.33805,                0.86568,                0.96581,                0.93651,                0.96251,                0.91994,                 0.3115,                0.24361,                0.80566,              0.0097248,              0.0097248,              0.0097248
                    142,                0.51798,                0.33587,                0.86491,                  0.961,                0.93969,                0.96239,                0.92113,                0.31091,                0.24199,                0.80505,              0.0097228,              0.0097228,              0.0097228
                    143,                0.52145,                0.33971,                0.86544,                0.96361,                0.93659,                0.96285,                0.91994,                0.30962,                0.24385,                0.80424,              0.0097208,              0.0097208,              0.0097208
                    144,                0.52153,                0.33764,                0.86484,                0.96465,                 0.9372,                0.96297,                0.91995,                0.31098,                0.24501,                0.80541,              0.0097188,              0.0097188,              0.0097188
                    145,                0.51734,                0.33506,                0.86084,                0.96521,                0.93759,                0.96256,                 0.9207,                  0.312,                0.24126,                0.80629,              0.0097169,              0.0097169,              0.0097169
                    146,                0.51602,                0.33302,                0.86212,                0.96369,                0.93967,                0.96365,                0.92174,                0.31003,                0.24024,                0.80463,              0.0097149,              0.0097149,              0.0097149
                    147,                0.51244,                0.33278,                 0.8591,                0.96736,                0.93641,                0.96435,                0.92245,                0.30902,                 0.2392,                0.80276,              0.0097129,              0.0097129,              0.0097129
                    148,                0.51424,                0.33362,                0.85975,                0.96635,                0.93807,                0.96535,                0.92271,                0.30965,                0.24013,                0.80242,              0.0097109,              0.0097109,              0.0097109
                    149,                0.51407,                0.33259,                0.86113,                 0.9669,                0.93768,                0.96517,                0.92234,                0.31032,                0.24106,                  0.804,              0.0097089,              0.0097089,              0.0097089
